first_date,second_date,area (km),type,volume
2015-08-03 12:02:18,2015-08-04 00:02:46,2.06,flexure,1.27474212089844
2015-08-22 18:02:15,2015-08-23 06:02:17,3.64,flexure,2.17165535740356
2016-06-12 00:02:46,2016-06-13 12:06:12,1.73,flexure,1.2769919570166
2016-06-15 00:02:16,2016-06-17 18:02:50,1.29,flexure,0.940414692280273
2016-06-17 18:02:50,2016-06-18 18:02:49,0.22,flexure,0.184518159875488
2016-06-17 18:02:50,2016-06-18 18:02:49,0.26,non-flexure,0.184518159875488
2016-06-23 06:07:20,2016-06-24 12:02:09,1.69,flexure,1.20596364334717
2016-07-11 00:02:17,2016-07-11 18:02:22,2.49,flexure,1.72105471796875
2016-07-24 18:02:15,2016-07-25 00:02:30,0.84,non-flexure,0.606100933408203
2016-07-27 12:02:16,2016-07-27 18:02:26,2.40,flexure,1.49856659349365
2016-08-26 18:02:02,2016-08-27 00:02:15,0.24,non-flexure,0.195037920092774
2016-09-03 18:02:02,2016-09-04 06:02:09,2.64,non-flexure,1.66290647296143
2016-09-08 06:02:01,2016-09-08 12:02:03,1.61,flexure,0.929982916607666
2016-09-13 12:02:05,2016-09-13 18:02:13,0.82,non-flexure,0.50222622222168
2016-09-16 06:02:05,2016-09-17 18:02:10,0.94,non-flexure,0.246877294702149
2017-08-01 00:02:09,2017-08-01 06:02:03,3.58,flexure,1.9380481499054
2017-08-01 12:02:03,2017-08-01 18:02:04,1.12,non-flexure,0.485712518261719
2017-10-09 12:01:55,2017-10-10 12:08:06,5.92,flexure,3.4101603321228
2018-08-12 13:01:55,2018-08-12 19:01:55,3.28,flexure,1.85176104522217
2018-09-08 19:01:59,2018-09-09 01:01:59,2.33,flexure,1.31992902879944
2018-10-05 01:07:26,2018-10-07 01:02:57,1.58,flexure,0.931691214254761
2019-06-06 07:02:01,2019-06-07 01:02:03,1.64,non-flexure,1.05971066201782
2019-06-11 07:01:55,2019-06-12 01:01:59,3.09,flexure,1.68736085177918
2019-06-22 07:01:55,2019-06-22 13:02:04,2.69,flexure,1.70916901580505
2019-07-20 19:02:05,2019-07-21 01:01:54,1.23,flexure,0.638124469726563
2019-08-18 01:02:04,2019-08-18 07:01:57,4.03,flexure,1.92786565816345
2019-09-03 19:01:56,2019-09-04 01:02:06,1.67,flexure,0.978913086166382
2019-09-04 01:02:06,2019-09-04 07:02:00,1.99,non-flexure,1.17491478991089
2019-10-06 19:01:56,2019-10-07 01:02:07,0.64,non-flexure,0.374513199023438
2019-10-08 07:03:15,2019-10-08 19:01:59,2.53,flexure,1.33297933221741
2019-12-31 13:09:04,2020-01-02 13:36:11,4.76,flexure,3.05049011644897
2020-02-03 13:14:49,2020-02-07 13:06:54,0.60,non-flexure,0.440283133544922
2020-02-12 13:09:53,2020-02-13 13:10:41,3.40,non-flexure,2.20794562738587
2020-02-27 13:11:23,2020-02-28 13:18:01,1.57,flexure,0.970471678342285
2020-04-12 13:04:01,2020-04-14 13:21:25,1.84,flexure,1.05628592116089
2020-05-27 07:01:56,2020-05-27 19:01:59,5.34,flexure,3.03155572455444
2020-06-09 01:02:01,2020-06-09 07:01:56,2.55,flexure,1.26365520118225
2020-07-01 19:01:58,2020-07-02 01:01:56,0.36,non-flexure,0.261166896923828
2020-07-11 07:01:53,2020-07-11 13:01:59,0.25,non-flexure,0.192489146821289
2020-07-14 07:06:30,2020-07-14 13:02:05,2.59,flexure,1.48171781404114
2020-07-14 13:02:05,2020-07-14 19:01:55,1.83,flexure,0.746656236828614
2020-09-06 07:01:57,2020-09-06 13:01:58,1.73,non-flexure,0.83386081111145
2020-09-06 13:01:58,2020-09-07 19:01:52,3.44,flexure,1.30629202402222
2020-09-20 13:03:00,2020-09-20 19:01:55,1.52,non-flexure,0.744207290463867
2020-09-29 01:05:17,2020-09-29 07:05:45,2.86,flexure,1.91330326308106
2020-11-11 13:23:11,2020-11-13 13:11:26,4.26,flexure,2.78985447312622
2020-12-23 13:09:24,2020-12-27 13:07:09,5.33,flexure,3.39086645970154
2021-04-10 13:03:00,2021-04-11 13:02:59,2.59,flexure,1.79571762950439
2021-04-20 13:03:58,2021-04-21 13:04:03,3.37,flexure,2.20690697492065
2021-05-06 19:01:59,2021-05-07 13:02:10,1.04,flexure,0.751352018432617
2021-06-15 01:06:43,2021-06-17 19:01:53,2.41,flexure,1.53493642194824
2021-07-02 01:01:59,2021-07-02 07:02:49,3.42,flexure,2.16816179663818
2022-09-18 07:02:28,2022-09-19 07:02:14,4.33,flexure,2.17042197115173
2022-12-15 13:15:05,2022-12-17 13:23:11,0.38,non-flexure,0.297737187036133
2022-12-26 13:30:07,2022-12-27 13:33:30,2.06,flexure,1.43394234151367
2023-07-05 07:02:16,2023-07-05 13:02:19,10.04,flexure,7.10418826235962
