first_date,second_date,area (km),type
2015-08-03 12:02:18,2015-08-04 00:02:46,2.06,surface depression
2015-08-22 18:02:15,2015-08-23 06:02:17,3.64,surface depression
2016-06-12 00:02:46,2016-06-13 12:06:12,1.73,surface depression
2016-06-15 00:02:16,2016-06-17 18:02:50,1.29,surface depression
2016-06-17 18:02:50,2016-06-18 18:02:49,0.22,surface depression
2016-06-17 18:02:50,2016-06-18 18:02:49,0.26,non surface depression
2016-06-23 06:07:20,2016-06-24 12:02:09,1.69,surface depression
2016-07-11 00:02:17,2016-07-11 18:02:22,2.49,surface depression
2016-07-24 18:02:15,2016-07-25 00:02:30,0.84,non surface depression
2016-07-27 12:02:16,2016-07-27 18:02:26,2.4,surface depression
2016-08-26 18:02:02,2016-08-27 00:02:15,0.24,non surface depression
2016-09-03 18:02:02,2016-09-04 06:02:09,2.64,non surface depression
2016-09-08 06:02:01,2016-09-08 12:02:03,1.61,surface depression
2016-09-13 12:02:05,2016-09-13 18:02:13,0.82,non surface depression
2016-09-16 06:02:05,2016-09-17 18:02:10,0.94,non surface depression
2017-08-01 00:02:09,2017-08-01 06:02:03,3.58,surface depression
2017-08-01 12:02:03,2017-08-01 18:02:04,1.12,non surface depression
2017-10-09 12:01:55,2017-10-10 12:08:06,5.92,surface depression
2018-08-12 13:01:55,2018-08-12 19:01:55,3.28,surface depression
2018-09-08 19:01:59,2018-09-09 01:01:59,2.33,surface depression
2018-10-05 01:07:26,2018-10-07 01:02:57,1.58,surface depression
2019-06-06 07:02:01,2019-06-07 01:02:03,1.64,non surface depression
2019-06-11 07:01:55,2019-06-12 01:01:59,3.09,surface depression
2019-06-22 07:01:55,2019-06-22 13:02:04,2.69,surface depression
2019-07-20 19:02:05,2019-07-21 01:01:54,1.23,surface depression
2019-08-18 01:02:04,2019-08-18 07:01:57,4.03,surface depression
2019-09-03 19:01:56,2019-09-04 01:02:06,1.67,surface depression
2019-09-04 01:02:06,2019-09-04 07:02:00,1.99,non surface depression
2019-10-06 19:01:56,2019-10-07 01:02:07,0.64,non surface depression
2019-10-08 07:03:15,2019-10-08 19:01:59,2.53,surface depression
2019-12-31 13:09:04,2020-01-02 13:36:11,4.76,surface depression
2020-02-03 13:14:49,2020-02-07 13:06:54,0.6,non surface depression
2020-02-12 13:09:53,2020-02-13 13:10:41,3.4,non surface depression
2020-02-27 13:11:23,2020-02-28 13:18:01,1.57,surface depression
2020-04-12 13:04:01,2020-04-14 13:21:25,1.84,surface depression
2020-05-27 07:01:56,2020-05-27 19:01:59,5.34,surface depression
2020-06-09 01:02:01,2020-06-09 07:01:56,2.55,surface depression
2020-07-01 19:01:58,2020-07-02 01:01:56,0.36,non surface depression
2020-07-11 07:01:53,2020-07-11 13:01:59,0.25,non surface depression
2020-07-14 07:06:30,2020-07-14 13:02:05,2.59,surface depression
2020-07-14 13:02:05,2020-07-14 19:01:55,1.83,surface depression
2020-09-06 07:01:57,2020-09-06 13:01:58,1.73,non surface depression
2020-09-06 13:01:58,2020-09-07 19:01:52,3.44,surface depression
2020-09-20 13:03:00,2020-09-20 19:01:55,1.52,non surface depression
2020-09-29 01:05:17,2020-09-29 07:05:45,2.86,surface depression
2020-11-11 13:23:11,2020-11-13 13:11:26,4.26,surface depression
2020-12-23 13:09:24,2020-12-27 13:07:09,5.33,surface depression
2021-04-10 13:03:00,2021-04-11 13:02:59,2.59,surface depression
2021-04-20 13:03:58,2021-04-21 13:04:03,3.37,surface depression
2021-05-06 19:01:59,2021-05-07 13:02:10,1.04,surface depression
2021-06-15 01:06:43,2021-06-17 19:01:53,2.41,surface depression
2021-07-02 01:01:59,2021-07-02 07:02:49,3.42,surface depression
2022-09-18 07:02:28,2022-09-19 07:02:14,4.33,surface depression
2022-12-15 13:15:05,2022-12-17 13:23:11,0.38,non surface depression
2022-12-26 13:30:07,2022-12-27 13:33:30,2.06,surface depression
2023-07-05 07:02:16,2023-07-05 13:02:19,10.04,surface depression
